City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,ust-tsilma,65.441,52.1498,13.63,92,96,2.06,RU,1726181090
321,gisborne,-38.6533,178.0042,15.02,50,90,5.14,NZ,1726181091
322,mejit,10.2753,170.8646,27.9,82,100,5.45,MH,1726181092
323,itaiba,-8.9475,-37.4228,19.72,85,83,5.32,BR,1726181093
324,lompoc,34.6391,-120.4579,20.94,65,0,9.26,US,1726181095
325,lambari,-21.9756,-45.3503,21.17,29,0,0.95,BR,1726181096
326,mwanza,-2.5167,32.9,24.1,60,98,2.3,TZ,1726181097
327,george,-33.963,22.4617,12.75,88,0,3.09,ZA,1726181098
328,okhotsk,59.3833,143.3,11.45,78,97,6.61,RU,1726181099
329,maceio,-9.6658,-35.7353,23.69,94,75,2.57,BR,1726181100
330,cidade velha,14.9167,-23.6167,27.26,83,75,8.23,CV,1726181102
331,westport,41.1415,-73.3579,22.87,76,0,3.6,US,1726181010
332,kuala terengganu,5.3302,103.1408,25.97,89,20,1.54,MY,1726181104
333,debal'tseve,48.3407,38.4049,23.07,28,100,7.74,UA,1726181105
334,jiagedaqi,50.4167,124.1167,5.31,47,0,1.83,CN,1726181106
335,ndele,8.4109,20.6473,21.85,96,99,1.17,CF,1726181107
336,ambalangoda,6.2355,80.0538,26.9,85,100,5.48,LK,1726181108
337,robore,-18.3333,-59.75,28.05,57,2,0.0,BO,1726181110
338,bafra,41.5678,35.9069,20.46,79,4,2.22,TR,1726181111
339,yorkton,51.2167,-102.4677,20.91,78,40,8.23,CA,1726181112
340,impfondo,1.6381,18.0667,22.98,92,89,1.3,CG,1726181113
341,laminusa,5.5549,120.9136,28.0,80,100,7.95,PH,1726181114
342,anloga,5.7947,0.8973,24.87,90,30,4.44,GH,1726181115
343,kirkwood,38.5834,-90.4068,27.77,53,100,4.63,US,1726181117
344,pasuquin,18.3328,120.6177,24.97,100,75,0.51,PH,1726181118
345,macusani,-14.0833,-70.4333,3.46,69,37,4.04,PE,1726181119
346,nova sintra,14.8667,-24.7167,26.9,87,23,8.67,CV,1726181120
347,labrador city,52.9463,-66.9114,18.95,55,75,2.06,CA,1726181113
348,augusto correa,-1.0217,-46.635,25.91,78,28,2.92,BR,1726181122
349,oum hadjer,13.2954,19.6966,24.94,79,100,3.54,TD,1726181124
350,kalach,50.4258,41.0261,21.28,32,99,6.85,RU,1726181125
351,nadym,65.5333,72.5167,12.86,89,22,4.36,RU,1726181126
352,solnechnyy,50.7214,136.6319,9.41,41,39,4.56,RU,1726181127
353,yamethin,20.4333,96.15,22.65,93,100,2.98,MM,1726181128
354,marion,39.7684,-86.1555,30.31,37,0,3.09,US,1726181046
